profile_id,level_id,level_name,yorunge,lt_level,b,theta_start,theta_end,attempts,correct,accuracy,hints_total,hints_per_attempt,time_total_sec,time_per_attempt,mastered,attempts_to_mastery,yas,sayi_hissi,diskalkuli_riski
P04,T03,10'a Kadar Sayma,Sayma,6,-0.8,-1.37,-0.86,12,6,0.5,14,1.17,205.6,17.1,0,,4,tipik,True
P04,T04,Kardinal İlke,Sayma,7,-0.5,-1.37,-0.78,12,4,0.333,11,0.92,221.1,18.4,0,,4,tipik,True
P04,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-1.37,-1.03,12,10,0.833,16,1.33,219.3,18.3,0,,4,tipik,True
P04,T07,5'lik Çerçeve,Sanbil,6,-0.4,-1.37,-0.9,12,7,0.583,20,1.67,268.0,22.3,0,,4,tipik,True
P04,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-1.37,-0.99,6,0,0.0,9,1.5,150.5,25.1,0,,4,tipik,True
P04,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-1.37,-0.82,12,5,0.417,12,1.0,215.1,17.9,0,,4,tipik,True
P04,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-1.37,-0.86,12,6,0.5,12,1.0,229.2,19.1,0,,4,tipik,True
P04,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-1.37,-0.78,12,4,0.333,19,1.58,302.9,25.2,0,,4,tipik,True
P04,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-1.37,-0.82,12,5,0.417,13,1.08,228.9,19.1,0,,4,tipik,True
P04,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-1.37,-0.69,12,2,0.167,13,1.08,293.5,24.5,0,,4,tipik,True
P05,T01,Birebir Eşleme,Sayma,4,-1.6,0.57,0.74,3,3,1.0,0,0.0,27.4,9.1,1,3.0,4,ileri,False
P05,T02,5'e Kadar Sayma,Sayma,5,-1.2,0.57,0.74,3,3,1.0,1,0.33,35.1,11.7,1,3.0,4,ileri,False
P05,T03,10'a Kadar Sayma,Sayma,6,-0.8,0.57,0.86,5,5,1.0,3,0.6,69.6,13.9,1,5.0,4,ileri,False
P05,T04,Kardinal İlke,Sayma,7,-0.5,0.57,0.74,3,3,1.0,1,0.33,29.1,9.7,1,3.0,4,ileri,False
P05,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,0.57,0.74,3,3,1.0,1,0.33,33.1,11.0,1,3.0,4,ileri,False
P05,T07,5'lik Çerçeve,Sanbil,6,-0.4,0.57,0.74,3,3,1.0,2,0.67,36.5,12.2,1,3.0,4,ileri,False
P05,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,0.57,1.31,7,4,0.571,0,0.0,63.2,9.0,1,7.0,4,ileri,False
P05,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,0.57,1.54,9,5,0.556,4,0.44,106.9,11.9,1,9.0,4,ileri,False
P05,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,0.57,1.43,9,6,0.667,3,0.33,101.3,11.3,1,9.0,4,ileri,False
P05,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,0.57,1.37,8,5,0.625,2,0.25,91.9,11.5,1,8.0,4,ileri,False
P05,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,0.57,0.74,3,3,1.0,2,0.67,36.2,12.1,1,3.0,4,ileri,False
P05,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,0.57,1.31,7,4,0.571,3,0.43,84.3,12.0,1,7.0,4,ileri,False
P06,T01,Birebir Eşleme,Sayma,4,-1.6,-1.27,-0.96,10,7,0.7,8,0.8,144.9,14.5,1,10.0,4,ileri,True
P06,T02,5'e Kadar Sayma,Sayma,5,-1.2,-1.27,-0.85,12,7,0.583,15,1.25,183.8,15.3,0,,4,ileri,True
P06,T03,10'a Kadar Sayma,Sayma,6,-0.8,-1.27,-0.89,12,8,0.667,12,1.0,191.6,16.0,0,,4,ileri,True
P06,T04,Kardinal İlke,Sayma,7,-0.5,-1.27,-0.81,12,6,0.5,14,1.17,216.0,18.0,0,,4,ileri,True
P06,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-1.27,-0.81,12,6,0.5,14,1.17,188.6,15.7,0,,4,ileri,True
P06,T07,5'lik Çerçeve,Sanbil,6,-0.4,-1.27,-0.96,12,10,0.833,13,1.08,231.8,19.3,1,12.0,4,ileri,True
P06,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-1.27,-0.91,9,4,0.444,12,1.33,212.5,23.6,1,9.0,4,ileri,True
P06,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-1.27,-0.81,12,6,0.5,16,1.33,224.1,18.7,0,,4,ileri,True
P06,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-1.27,-0.81,12,6,0.5,15,1.25,221.7,18.5,0,,4,ileri,True
P06,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-1.27,-0.85,12,7,0.583,15,1.25,279.7,23.3,0,,4,ileri,True
P06,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-1.27,-0.81,12,6,0.5,16,1.33,240.3,20.0,0,,4,ileri,True
P06,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-1.27,-0.69,12,3,0.25,16,1.33,282.7,23.6,0,,4,ileri,True
P07,T01,Birebir Eşleme,Sayma,4,-1.6,-0.36,0.22,8,6,0.75,0,0.0,79.7,10.0,1,8.0,5,dusuk,False
P07,T02,5'e Kadar Sayma,Sayma,5,-1.2,-0.36,0.41,8,4,0.5,3,0.38,83.1,10.4,1,8.0,5,dusuk,False
P07,T03,10'a Kadar Sayma,Sayma,6,-0.8,-0.36,-0.22,3,3,1.0,1,0.33,33.2,11.1,1,3.0,5,dusuk,False
P07,T04,Kardinal İlke,Sayma,7,-0.5,-0.36,-0.22,3,3,1.0,2,0.67,38.1,12.7,1,3.0,5,dusuk,False
P07,T05,Geri Sayma (10→1),Sayma,9,0.0,-0.36,0.46,9,5,0.556,6,0.67,102.1,11.3,1,9.0,5,dusuk,False
P07,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-0.36,0.6,12,8,0.667,7,0.58,147.0,12.2,1,12.0,5,dusuk,False
P07,T07,5'lik Çerçeve,Sanbil,6,-0.4,-0.36,-0.22,3,3,1.0,1,0.33,39.4,13.1,1,3.0,5,dusuk,False
P07,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-0.36,0.89,12,5,0.417,7,0.58,149.4,12.5,0,,5,dusuk,False
P07,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-0.36,0.5,12,9,0.75,8,0.67,144.8,12.1,1,12.0,5,dusuk,False
P07,T10,Sıralama (1-10),Karşılaştırma,12,0.5,-0.36,0.7,12,7,0.583,18,1.5,203.1,16.9,0,,5,dusuk,False
P07,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-0.36,0.6,12,8,0.667,11,0.92,159.3,13.3,0,,5,dusuk,False
P07,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-0.36,1.08,12,3,0.25,11,0.92,171.8,14.3,0,,5,dusuk,False
P07,T14,Numbers-in-Numbers,Sayı Bileşimi,9,0.9,-0.36,0.7,12,7,0.583,17,1.42,225.3,18.8,0,,5,dusuk,False
P07,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-0.36,0.65,11,6,0.545,3,0.27,127.9,11.6,1,11.0,5,dusuk,False
P07,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-0.36,0.89,12,5,0.417,10,0.83,166.5,13.9,1,12.0,5,dusuk,False
P07,T17,10'a Tamamla,Toplama-Çıkarma,10,1.1,-0.36,0.89,12,5,0.417,18,1.5,236.1,19.7,0,,5,dusuk,False
P08,T01,Birebir Eşleme,Sayma,4,-1.6,-0.87,-0.49,5,3,0.6,1,0.2,47.3,9.5,1,5.0,5,dusuk,False
P08,T02,5'e Kadar Sayma,Sayma,5,-1.2,-0.87,-0.74,3,3,1.0,2,0.67,40.7,13.6,1,3.0,5,dusuk,False
P08,T03,10'a Kadar Sayma,Sayma,6,-0.8,-0.87,-0.07,11,7,0.636,8,0.73,130.1,11.8,1,11.0,5,dusuk,False
P08,T04,Kardinal İlke,Sayma,7,-0.5,-0.87,-0.37,8,6,0.75,9,1.12,126.0,15.8,1,8.0,5,dusuk,False
P08,T05,Geri Sayma (10→1),Sayma,9,0.0,-0.87,0.22,12,5,0.417,9,0.75,167.6,14.0,0,,5,dusuk,False
P08,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-0.87,-0.2,10,7,0.7,8,0.8,119.2,11.9,1,10.0,5,dusuk,False
P08,T07,5'lik Çerçeve,Sanbil,6,-0.4,-0.87,-0.74,3,3,1.0,2,0.67,43.5,14.5,1,3.0,5,dusuk,False
P08,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-0.87,0.14,12,6,0.5,17,1.42,210.6,17.6,0,,5,dusuk,False
P08,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-0.87,-0.74,3,3,1.0,2,0.67,40.9,13.6,1,3.0,5,dusuk,False
P08,T10,Sıralama (1-10),Karşılaştırma,12,0.5,-0.87,0.31,12,4,0.333,15,1.25,227.4,18.9,0,,5,dusuk,False
P08,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-0.87,-0.74,3,3,1.0,2,0.67,39.9,13.3,1,3.0,5,dusuk,False
P08,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-0.87,0.22,12,5,0.417,17,1.42,211.3,17.6,0,,5,dusuk,False
P08,T14,Numbers-in-Numbers,Sayı Bileşimi,9,0.9,-0.87,0.39,12,3,0.25,14,1.17,223.0,18.6,0,,5,dusuk,False
P08,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-0.87,-0.03,12,8,0.667,8,0.67,149.3,12.4,1,12.0,5,dusuk,False
P08,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-0.87,-0.11,12,9,0.75,15,1.25,224.7,18.7,0,,5,dusuk,False
P08,T17,10'a Tamamla,Toplama-Çıkarma,10,1.1,-0.87,0.39,12,3,0.25,13,1.08,252.3,21.0,0,,5,dusuk,False
P09,T01,Birebir Eşleme,Sayma,4,-1.6,-2.18,-1.4,12,6,0.5,17,1.42,220.1,18.3,0,,5,dusuk,True
P09,T02,5'e Kadar Sayma,Sayma,5,-1.2,-2.18,-1.47,12,7,0.583,15,1.25,229.0,19.1,0,,5,dusuk,True
P09,T03,10'a Kadar Sayma,Sayma,6,-0.8,-2.18,-1.6,6,0,0.0,7,1.17,129.4,21.6,0,,5,dusuk,True
P09,T04,Kardinal İlke,Sayma,7,-0.5,-2.18,-1.27,12,4,0.333,12,1.0,259.0,21.6,0,,5,dusuk,True
P09,T05,Geri Sayma (10→1),Sayma,9,0.0,-2.18,-1.34,12,5,0.417,23,1.92,331.7,27.6,0,,5,dusuk,True
P09,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-2.18,-1.4,12,6,0.5,14,1.17,244.1,20.3,0,,5,dusuk,True
P09,T07,5'lik Çerçeve,Sanbil,6,-0.4,-2.18,-1.21,12,3,0.25,14,1.17,269.2,22.4,0,,5,dusuk,True
P09,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-2.18,-1.21,12,3,0.25,18,1.5,330.1,27.5,0,,5,dusuk,True
P09,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-2.18,-1.21,12,3,0.25,13,1.08,246.7,20.6,0,,5,dusuk,True
P09,T10,Sıralama (1-10),Karşılaştırma,12,0.5,-2.18,-1.14,12,2,0.167,13,1.08,334.3,27.9,0,,5,dusuk,True
P09,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-2.18,-1.69,5,0,0.0,5,1.0,103.2,20.6,0,,5,dusuk,True
P09,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-2.18,-1.69,5,0,0.0,5,1.0,130.8,26.2,0,,5,dusuk,True
P09,T14,Numbers-in-Numbers,Sayı Bileşimi,9,0.9,-2.18,-1.14,12,2,0.167,21,1.75,366.0,30.5,0,,5,dusuk,True
P09,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-2.18,-1.47,12,7,0.583,19,1.58,296.7,24.7,0,,5,dusuk,True
P09,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-2.18,-1.6,6,0,0.0,12,2.0,186.8,31.1,0,,5,dusuk,True
P09,T17,10'a Tamamla,Toplama-Çıkarma,10,1.1,-2.18,-1.14,12,2,0.167,14,1.17,358.1,29.8,0,,5,dusuk,True
P10,T01,Birebir Eşleme,Sayma,4,-1.6,-2.09,-1.42,12,6,0.5,10,0.83,187.2,15.6,0,,5,dusuk,True
P10,T02,5'e Kadar Sayma,Sayma,5,-1.2,-2.09,-1.31,12,4,0.333,16,1.33,238.0,19.8,0,,5,dusuk,True
P10,T03,10'a Kadar Sayma,Sayma,6,-0.8,-2.09,-1.42,12,6,0.5,20,1.67,275.2,22.9,0,,5,dusuk,True
P10,T04,Kardinal İlke,Sayma,7,-0.5,-2.09,-1.19,12,2,0.167,13,1.08,275.9,23.0,0,,5,dusuk,True
P10,T05,Geri Sayma (10→1),Sayma,9,0.0,-2.09,-1.36,12,5,0.417,11,0.92,301.8,25.1,0,,5,dusuk,True
P10,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-2.09,-1.36,12,5,0.417,15,1.25,256.3,21.4,0,,5,dusuk,True
P10,T07,5'lik Çerçeve,Sanbil,6,-0.4,-2.09,-1.64,8,4,0.5,9,1.12,191.6,23.9,1,8.0,5,dusuk,True
P10,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-2.09,-1.25,12,3,0.25,19,1.58,347.6,29.0,0,,5,dusuk,True
P10,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-2.09,-1.36,12,5,0.417,10,0.83,253.8,21.2,0,,5,dusuk,True
P10,T10,Sıralama (1-10),Karşılaştırma,12,0.5,-2.09,-1.19,12,2,0.167,18,1.5,348.9,29.1,0,,5,dusuk,True
P10,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-2.09,-1.42,12,6,0.5,18,1.5,287.5,24.0,0,,5,dusuk,True
P10,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-2.09,-1.25,12,3,0.25,15,1.25,332.4,27.7,0,,5,dusuk,True
P10,T14,Numbers-in-Numbers,Sayı Bileşimi,9,0.9,-2.09,-1.14,12,1,0.083,16,1.33,360.7,30.1,0,,5,dusuk,True
P10,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-2.09,-1.42,12,6,0.5,15,1.25,289.6,24.1,0,,5,dusuk,True
P10,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-2.09,-1.14,12,1,0.083,20,1.67,361.0,30.1,0,,5,dusuk,True
P10,T17,10'a Tamamla,Toplama-Çıkarma,10,1.1,-2.09,-1.17,11,0,0.0,15,1.36,352.2,32.0,0,,5,dusuk,True
P11,T01,Birebir Eşleme,Sayma,4,-1.6,0.25,0.41,3,3,1.0,2,0.67,37.5,12.5,1,3.0,5,tipik,False
P11,T02,5'e Kadar Sayma,Sayma,5,-1.2,0.25,0.41,3,3,1.0,0,0.0,25.4,8.5,1,3.0,5,tipik,False
P11,T03,10'a Kadar Sayma,Sayma,6,-0.8,0.25,0.41,3,3,1.0,0,0.0,30.3,10.1,1,3.0,5,tipik,False
P11,T04,Kardinal İlke,Sayma,7,-0.5,0.25,0.41,3,3,1.0,1,0.33,32.3,10.8,1,3.0,5,tipik,False
P11,T05,Geri Sayma (10→1),Sayma,9,0.0,0.25,0.93,9,7,0.778,6,0.67,117.3,13.0,1,9.0,5,tipik,False
P11,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,0.25,0.56,4,3,0.75,1,0.25,45.4,11.4,1,4.0,5,tipik,False
P11,T07,5'lik Çerçeve,Sanbil,6,-0.4,0.25,0.41,3,3,1.0,1,0.33,29.3,9.8,1,3.0,5,tipik,False
P11,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,0.25,0.56,4,3,0.75,2,0.5,43.6,10.9,1,4.0,5,tipik,False
P11,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,0.25,0.41,3,3,1.0,0,0.0,26.0,8.7,1,3.0,5,tipik,False
P11,T10,Sıralama (1-10),Karşılaştırma,12,0.5,0.25,1.51,12,6,0.5,8,0.67,139.8,11.6,0,,5,tipik,False
P11,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,0.25,0.62,5,4,0.8,2,0.4,56.3,11.3,1,5.0,5,tipik,False
P11,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,0.25,1.04,9,6,0.667,5,0.56,103.7,11.5,1,9.0,5,tipik,False
P11,T14,Numbers-in-Numbers,Sayı Bileşimi,9,0.9,0.25,1.51,12,6,0.5,11,0.92,146.6,12.2,1,12.0,5,tipik,False
P11,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,0.25,0.67,6,5,0.833,2,0.33,63.5,10.6,1,6.0,5,tipik,False
P11,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,0.25,1.3,12,8,0.667,7,0.58,140.2,11.7,0,,5,tipik,False
P11,T17,10'a Tamamla,Toplama-Çıkarma,10,1.1,0.25,0.56,4,3,0.75,5,1.25,64.9,16.2,1,4.0,5,tipik,False
P12,T01,Birebir Eşleme,Sayma,4,-1.6,-0.37,-0.18,4,4,1.0,4,1.0,50.2,12.6,1,4.0,5,tipik,False
P12,T02,5'e Kadar Sayma,Sayma,5,-1.2,-0.37,0.24,7,4,0.571,2,0.29,62.9,9.0,1,7.0,5,tipik,False
P12,T03,10'a Kadar Sayma,Sayma,6,-0.8,-0.37,-0.04,5,4,0.8,4,0.8,50.9,10.2,1,5.0,5,tipik,False
P12,T04,Kardinal İlke,Sayma,7,-0.5,-0.37,0.24,7,4,0.571,2,0.29,74.3,10.6,1,7.0,5,tipik,False
P12,T05,Geri Sayma (10→1),Sayma,9,0.0,-0.37,0.29,8,5,0.625,7,0.88,108.0,13.5,1,8.0,5,tipik,False
P12,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-0.37,0.76,12,6,0.5,2,0.17,107.6,9.0,0,,5,tipik,False
P12,T07,5'lik Çerçeve,Sanbil,6,-0.4,-0.37,-0.09,4,3,0.75,1,0.25,35.2,8.8,1,4.0,5,tipik,False
P12,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-0.37,0.86,12,5,0.417,9,0.75,143.3,11.9,0,,5,tipik,False
P12,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-0.37,-0.23,3,3,1.0,1,0.33,34.0,11.3,1,3.0,5,tipik,False
P12,T10,Sıralama (1-10),Karşılaştırma,12,0.5,-0.37,0.95,12,4,0.333,7,0.58,138.1,11.5,0,,5,tipik,False
P12,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-0.37,-0.04,5,4,0.8,2,0.4,49.0,9.8,1,5.0,5,tipik,False
P12,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-0.37,0.43,9,5,0.556,2,0.22,96.1,10.7,1,9.0,5,tipik,False
P12,T14,Numbers-in-Numbers,Sayı Bileşimi,9,0.9,-0.37,1.14,12,2,0.167,8,0.67,156.5,13.0,0,,5,tipik,False
P12,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-0.37,0.67,12,7,0.583,9,0.75,134.2,11.2,0,,5,tipik,False
P12,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-0.37,1.05,12,3,0.25,18,1.5,189.9,15.8,0,,5,tipik,False
P12,T17,10'a Tamamla,Toplama-Çıkarma,10,1.1,-0.37,0.67,12,7,0.583,13,1.08,178.7,14.9,0,,5,tipik,False
P13,T01,Birebir Eşleme,Sayma,4,-1.6,-0.98,-0.87,4,3,0.75,1,0.25,57.3,14.3,1,4.0,5,tipik,True
P13,T02,5'e Kadar Sayma,Sayma,5,-1.2,-0.98,-0.58,12,7,0.583,6,0.5,158.9,13.2,0,,5,tipik,True
P13,T03,10'a Kadar Sayma,Sayma,6,-0.8,-0.98,-0.75,7,4,0.571,8,1.14,114.8,16.4,1,7.0,5,tipik,True
P13,T04,Kardinal İlke,Sayma,7,-0.5,-0.98,-0.62,12,8,0.667,11,0.92,191.4,16.0,0,,5,tipik,True
P13,T05,Geri Sayma (10→1),Sayma,9,0.0,-0.98,-0.93,3,3,1.0,2,0.67,55.0,18.3,1,3.0,5,tipik,True
P13,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-0.98,-0.58,12,7,0.583,10,0.83,172.0,14.3,0,,5,tipik,True
P13,T07,5'lik Çerçeve,Sanbil,6,-0.4,-0.98,-0.48,12,4,0.333,16,1.33,228.5,19.0,0,,5,tipik,True
P13,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-0.98,-0.44,12,3,0.25,16,1.33,254.5,21.2,0,,5,tipik,True
P13,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-0.98,-0.58,12,7,0.583,12,1.0,202.8,16.9,0,,5,tipik,True
P13,T10,Sıralama (1-10),Karşılaştırma,12,0.5,-0.98,-0.51,12,5,0.417,17,1.42,291.3,24.3,0,,5,tipik,True
P13,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-0.98,-0.62,10,5,0.5,7,0.7,148.9,14.9,1,10.0,5,tipik,True
